ColonyID,Colour,Day,InNestFrames,TotalFrames,Treatment,InfectionLoad,InfectionStatus,AssignmentRate,OutNestFrames,OutNestRatio
C_10,BB,3,131551,131551,C,0,uninfected,0.913548611111111,0,0
C_10,BG,3,117764,118424,C,0,uninfected,0.822388888888889,660,0.00557319462271161
C_10,BR,3,119514,119514,C,0,uninfected,0.829958333333333,0,0
C_10,GG,3,96069,139482,C,0,uninfected,0.968625,43413,0.311244461650966
C_10,GR,3,118416,118820,C,0,uninfected,0.825138888888889,404,0.00340010099309881
C_10,RB,3,128974,131563,C,0,uninfected,0.913631944444444,2589,0.0196787850687503
C_10,RG,3,140175,142340,C,0,uninfected,0.988472222222222,2165,0.0152100604187158
C_10,RR,3,129515,130352,C,0,uninfected,0.905222222222222,837,0.00642107524242052
C_10,BB,4,110389,128486,C,0,uninfected,0.892263888888889,18097,0.140848030135579
C_10,BG,4,104247,133246,C,0,uninfected,0.925319444444444,28999,0.217635050958378
C_10,BR,4,112044,125344,C,0,uninfected,0.870444444444444,13300,0.106107990809293
C_10,GG,4,113896,125388,C,0,uninfected,0.87075,11492,0.0916515137014706
C_10,GR,4,94869,127201,C,0,uninfected,0.883340277777778,32332,0.254180391663588
C_10,RB,4,120305,129217,C,0,uninfected,0.897340277777778,8912,0.0689692532716284
C_10,RG,4,87089,131146,C,0,uninfected,0.910736111111111,44057,0.335938572278224
C_10,RR,4,72509,133420,C,0,uninfected,0.926527777777778,60911,0.456535751761355
C_10,BB,5,96221,124039,C,0,uninfected,0.861381944444444,27818,0.224268173719556
C_10,BG,5,94433,130831,C,0,uninfected,0.908548611111111,36398,0.27820623552522
C_10,BR,5,90816,99353,C,0,uninfected,0.689951388888889,8537,0.0859259408372168
C_10,GG,5,105757,113017,C,0,uninfected,0.784840277777778,7260,0.0642381234681508
C_10,GR,5,69447,115055,C,0,uninfected,0.798993055555556,45608,0.396401720916084
C_10,RB,5,100598,119344,C,0,uninfected,0.828777777777778,18746,0.157075345220539
C_10,RG,5,97117,107287,C,0,uninfected,0.745048611111111,10170,0.0947924725269604
C_10,RR,5,65164,107745,C,0,uninfected,0.748229166666667,42581,0.395201633486473
C_10,BB,6,95852,119572,C,0,uninfected,0.830361111111111,23720,0.198374201318034
C_10,BG,6,83571,134408,C,0,uninfected,0.933388888888889,50837,0.378228974465806
C_10,BR,6,85109,103128,C,0,uninfected,0.716166666666667,18019,0.174724614071833
C_10,GG,6,89608,116248,C,0,uninfected,0.807277777777778,26640,0.229165232950244
C_10,GR,6,97292,117442,C,0,uninfected,0.815569444444444,20150,0.171574053575382
C_10,RB,6,103609,125647,C,0,uninfected,0.872548611111111,22038,0.175396149530033
C_10,RG,6,72142,97920,C,0,uninfected,0.68,25778,0.263255718954248
C_10,RR,6,77618,125566,C,0,uninfected,0.871986111111111,47948,0.381854960737779
C_2,BB,1,120520,120780,C,0,uninfected,0.83875,260,0.00215267428382182
C_2,BG,1,119981,120092,C,0,uninfected,0.833972222222222,111,0.000924291376611265
C_2,BR,1,111828,113621,C,0,uninfected,0.789034722222222,1793,0.015780533528133
C_2,GG,1,105392,133206,C,0,uninfected,0.925041666666667,27814,0.20880440820984
C_2,GR,1,115407,115422,C,0,uninfected,0.801541666666667,15,0.00012995789364246
C_2,RB,1,104734,104734,C,0,uninfected,0.727319444444444,0,0
C_2,RG,1,114246,114642,C,0,uninfected,0.796125,396,0.00345423143350604
C_2,RR,1,113124,113125,C,0,uninfected,0.785590277777778,1,8.83977900552486e-06
C_2,BB,2,91835,95526,C,0,uninfected,0.663375,3691,0.0386386952243368
C_2,BG,2,80488,84978,C,0,uninfected,0.590125,4490,0.0528372049236273
C_2,BR,2,89949,100300,C,0,uninfected,0.696527777777778,10351,0.103200398803589
C_2,GG,2,40463,131584,C,0,uninfected,0.913777777777778,91121,0.692493008268482
C_2,GR,2,93962,106250,C,0,uninfected,0.737847222222222,12288,0.115651764705882
C_2,RB,2,77351,102907,C,0,uninfected,0.714631944444444,25556,0.248340734838252
C_2,RG,2,84917,99271,C,0,uninfected,0.689381944444444,14354,0.144594090922827
C_2,RR,2,83506,85217,C,0,uninfected,0.591784722222222,1711,0.0200781534200922
C_2,BB,3,84106,107709,C,0,uninfected,0.747979166666667,23603,0.21913674808976
C_2,BG,3,81026,97033,C,0,uninfected,0.673840277777778,16007,0.164964496614554
C_2,BR,3,66950,85212,C,0,uninfected,0.59175,18262,0.214312538140168
C_2,GG,3,46701,107410,C,0,uninfected,0.745902777777778,60709,0.565208081184247
C_2,GR,3,58501,86088,C,0,uninfected,0.597833333333333,27587,0.32045116624849
C_2,RB,3,71587,106146,C,0,uninfected,0.737125,34559,0.325579861699923
C_2,RG,3,51631,122434,C,0,uninfected,0.850236111111111,70803,0.578295244784945
C_2,RR,3,68328,75980,C,0,uninfected,0.527638888888889,7652,0.100710713345617
C_2,BB,4,105003,121621,C,0,uninfected,0.844590277777778,16618,0.136637587258779
C_2,BG,4,108110,115913,C,0,uninfected,0.804951388888889,7803,0.0673177296765678
C_2,BR,4,101227,107850,C,0,uninfected,0.748958333333333,6623,0.0614093648585999
C_2,GG,4,116188,130578,C,0,uninfected,0.906791666666667,14390,0.110202331173705
C_2,GR,4,106800,112009,C,0,uninfected,0.777840277777778,5209,0.0465051915471078
C_2,RB,4,98269,127835,C,0,uninfected,0.887743055555556,29566,0.231282512613916
C_2,RG,4,101407,119588,C,0,uninfected,0.830472222222222,18181,0.152030304043884
C_2,RR,4,109671,115850,C,0,uninfected,0.804513888888889,6179,0.0533362106171774
C_2,BB,5,101516,104200,C,0,uninfected,0.723611111111111,2684,0.0257581573896353
C_2,BG,5,93922,96366,C,0,uninfected,0.669208333333333,2444,0.0253616420729303
C_2,BR,5,84335,84335,C,0,uninfected,0.585659722222222,0,0
C_2,GG,5,96092,96478,C,0,uninfected,0.669986111111111,386,0.00400091212504405
C_2,GR,5,105522,106702,C,0,uninfected,0.740986111111111,1180,0.0110588367603231
C_2,RB,5,81978,84912,C,0,uninfected,0.589666666666667,2934,0.0345534200113058
C_2,RG,5,93037,95290,C,0,uninfected,0.661736111111111,2253,0.0236436142302445
C_2,RR,5,94461,94863,C,0,uninfected,0.658770833333333,402,0.00423769014262674
C_2,BB,6,117214,118142,C,0,uninfected,0.820430555555556,928,0.00785495420764842
C_2,BG,6,117530,118951,C,0,uninfected,0.826048611111111,1421,0.0119460954510681
C_2,BR,6,115596,116634,C,0,uninfected,0.809958333333333,1038,0.00889963475487422
C_2,GG,6,122690,123999,C,0,uninfected,0.861104166666667,1309,0.0105565367462641
C_2,GR,6,118716,119001,C,0,uninfected,0.826395833333333,285,0.00239493785766506
C_2,RB,6,118524,119390,C,0,uninfected,0.829097222222222,866,0.00725353882234693
C_2,RG,6,118461,120171,C,0,uninfected,0.834520833333333,1710,0.0142297226452305
C_2,RR,6,115642,115740,C,0,uninfected,0.80375,98,0.000846725419042682
C_3,BB,1,138918,142715,C,0,uninfected,0.991076388888889,3797,0.0266054724450829
C_3,BG,1,142428,142587,C,0,uninfected,0.9901875,159,0.00111510867049591
C_3,BR,1,131529,131529,C,0,uninfected,0.913395833333333,0,0
C_3,GG,1,140565,142391,C,0,uninfected,0.988826388888889,1826,0.0128238442036365
C_3,GR,1,125026,131046,C,0,uninfected,0.910041666666667,6020,0.0459380675487997
C_3,RB,1,141235,141582,C,0,uninfected,0.983208333333333,347,0.0024508765238519
C_3,RG,1,129420,130422,C,0,uninfected,0.905708333333333,1002,0.00768275290978516
C_3,RR,1,139383,142951,C,0,uninfected,0.992715277777778,3568,0.024959601541787
C_3,BB,2,63791,137974,C,0,uninfected,0.958152777777778,74183,0.537659269137664
