ColonyID,Colour,Day,AssignmentRate,MeanSpeed,MedianSpeed,InNestFrame,OutNestFrame,TotalFrame,OutNestRatio,InfectionStatus,InfectionLoad,Treatment
C_1,BB,1,0.940722222222222,1.78395142702831,1.63441634292277,757296,55488,812784,0.0682690604145751,uninfected,0,C
C_1,BG,1,0.986350694444444,2.29411780081442,2.32104603136621,686011,166196,852207,0.195018346481547,uninfected,0,C
C_1,BR,1,0.897399305555556,0.929499645899751,0.0669882546645447,753213,22140,775353,0.0285547357139264,uninfected,0,C
C_1,GG,1,0.890665509259259,0.18864180754593,0.0270177818567845,751576,17959,769535,0.0233374700306029,uninfected,0,C
C_1,GR,1,0.941983796296296,2.66737469110984,2.94445996168369,700024,113850,813874,0.139886518060535,uninfected,0,C
C_1,RB,1,0.960743055555556,1.86378101162828,1.69118226465268,748421,81661,830082,0.0983770278117102,uninfected,0,C
C_1,RG,1,0.910915509259259,0.827069577741387,0.052828905070803,762463,24568,787031,0.031216051210181,uninfected,0,C
C_1,RR,1,0.891091435185185,0.605141918687806,0.0432845550037174,751665,18238,769903,0.0236886984464277,uninfected,0,C
C_10,BB,1,0.954173611111111,1.22765526381928,0.76554185554868,738335,86071,824406,0.104403655480431,uninfected,0,C
C_10,BG,1,0.953996527777778,1.56225078373073,1.21324565440374,699456,124797,824253,0.151406182325087,uninfected,0,C
C_10,BR,1,0.921927083333333,0.927890562194976,0.275448947121575,702636,93909,796545,0.117895410805416,uninfected,0,C
C_10,GG,1,0.943811342592593,1.96106412249763,1.7374353660756,654373,161080,815453,0.197534376598038,uninfected,0,C
C_10,GR,1,0.936959490740741,2.0392350115603,1.88847418304405,645189,164344,809533,0.203010871700104,uninfected,0,C
C_10,RB,1,0.955615740740741,1.2246859936914,0.78127137025465,756808,68844,825652,0.0833813761730124,uninfected,0,C
C_10,RG,1,0.956880787037037,1.33270547845582,0.924907363763013,667635,159110,826745,0.19245353766881,uninfected,0,C
C_10,RR,1,0.949865740740741,1.23849023174338,0.630802024625806,661326,159358,820684,0.194177052312461,uninfected,0,C
C_2,BB,1,0.995302083333333,1.5106027711887,1.2154715429673,812096,47845,859941,0.0556375379241134,uninfected,0,C
C_2,BG,1,0.984006944444444,1.81584755419583,1.58349032253865,817876,32306,850182,0.037998922583635,uninfected,0,C
C_2,BR,1,0.9835,1.51176720135487,1.15940510270903,811630,38114,849744,0.0448535088214803,uninfected,0,C
C_2,GG,1,0.984615740740741,2.16988117578191,2.05700861342817,654815,195893,850708,0.230270551117422,uninfected,0,C
C_2,GR,1,0.990915509259259,1.53013693475105,1.01262845090651,809549,46602,856151,0.0544319868808189,uninfected,0,C
C_2,RB,1,0.994236111111111,1.44058968167003,1.03078677574929,765450,93570,859020,0.108926451072152,uninfected,0,C
C_2,RG,1,0.994431712962963,2.22585183831641,2.1521135276463,751388,107801,859189,0.125468319543197,uninfected,0,C
C_2,RR,1,0.984511574074074,0.914295669106707,0.56915897841885,834572,16046,850618,0.0188639318707105,uninfected,0,C
C_3,BB,1,0.986653935185185,1.98644259998582,1.78350498836997,631536,220933,852469,0.259168368585837,uninfected,0,C
C_3,BG,1,0.996019675925926,0.900935763987061,0.48083266922635,833720,26841,860561,0.0311901190037661,uninfected,0,C
C_3,BR,1,0.977829861111111,2.10556290692828,1.97529800147227,782379,62466,844845,0.0739378229142624,uninfected,0,C
C_3,GG,1,0.983392361111111,1.98584015257047,1.75369189928695,730262,119389,849651,0.140515341004718,uninfected,0,C
C_3,GR,1,0.973591435185185,2.01858312753884,1.97952203284778,675449,165734,841183,0.197024904212282,uninfected,0,C
C_3,RB,1,0.99578125,1.46834695852014,1.14460273486634,845701,14654,860355,0.0170325040245015,uninfected,0,C
C_3,RG,1,0.968856481481482,2.01758188512561,1.84852075245981,747501,89591,837092,0.107026467819547,uninfected,0,C
C_3,RR,1,0.994210648148148,1.22670753015559,0.905812504936729,806048,52950,858998,0.0616415870584099,uninfected,0,C
C_4,BB,1,0.941564814814815,0.968743527803169,0.530889064475283,715406,98106,813512,0.120595639646373,uninfected,0,C
C_4,BG,1,0.983741898148148,1.92086891685944,1.63690361418854,702059,147894,849953,0.174002562494632,uninfected,0,C
C_4,BR,1,0.982289351851852,1.61765855746137,1.2318553470371,717595,131103,848698,0.154475443561785,uninfected,0,C
C_4,GG,1,0.979549768518518,1.68460339071859,1.28898800355148,755324,91007,846331,0.107531214146711,uninfected,0,C
C_4,GR,1,0.984800925925926,1.81400828185857,1.52371889364151,621154,229714,850868,0.269976071494051,uninfected,0,C
C_4,RB,1,0.981256944444444,1.02915723158562,0.646461663393815,806470,41336,847806,0.0487564372037943,uninfected,0,C
C_4,RG,1,0.979104166666667,1.7204489744764,1.22615631880804,604159,241787,845946,0.285818480139394,uninfected,0,C
C_4,RR,1,0.9818125,1.21933693577694,0.737435964098457,734822,113464,848286,0.133756775427155,uninfected,0,C
C_5,BB,1,0.960064814814815,1.92922218739983,1.73378968826319,689114,140382,829496,0.169237705787611,uninfected,0,C
C_5,BG,1,0.965887731481481,0.324767101456754,0.103855178214523,637790,196737,834527,0.235746716403424,uninfected,0,C
C_5,BR,1,0.882699074074074,0.786820090021656,0.466371507607535,742762,19890,762652,0.0260800469939107,uninfected,0,C
C_5,GG,1,0.962127314814815,1.1005209393569,0.786086275402203,795763,35515,831278,0.0427233729269871,uninfected,0,C
C_5,GR,1,0.942784722222222,0.813809458151212,0.424303186197663,731562,83004,814566,0.101899661905849,uninfected,0,C
