ColonyID,Colour,ContinuousSegment,MeanSpeed,AsssignmentRate,AssignmentRate,Treatment,InfectionLoad,InfectionStatus
C_1,BB,1,1.02276786574541,0,1,C,0,uninfected
C_1,BG,1,2.60863821657153,0,0.921826818901575,C,0,uninfected
C_1,BR,1,1.17191301222476,0,0.998249854154513,C,0,uninfected
C_1,GG,1,0.270712033893841,0,1,C,0,uninfected
C_1,GR,1,3.232526160228,0,0.9591632636053,C,0,uninfected
C_1,RB,1,0.593427747930601,0,0.856571380948412,C,0,uninfected
C_1,RG,1,0.851272660457963,0,1,C,0,uninfected
C_1,RR,1,0.270712033893841,0,1,C,0,uninfected
C_1,BB,2,0.121171548130875,0,1,C,0,uninfected
C_1,BG,2,0.126282153269035,0,1,C,0,uninfected
C_1,BR,2,0.121171548130875,0,1,C,0,uninfected
C_1,GG,2,0.121171548130875,0,1,C,0,uninfected
C_1,GR,2,4.63776913966923,0,1,C,0,uninfected
C_1,RB,2,0.121171548130875,0,1,C,0,uninfected
C_1,RG,2,0.121171548130875,0,1,C,0,uninfected
C_1,RR,2,0.121171548130875,0,1,C,0,uninfected
C_1,BB,3,0.243678014276839,0,1,C,0,uninfected
C_1,BG,3,0.344493111701053,0,1,C,0,uninfected
C_1,BR,3,0.3364592509508,0,1,C,0,uninfected
C_1,GG,3,0.218175984718969,0,1,C,0,uninfected
C_1,GR,3,3.56517103759367,0,1,C,0,uninfected
C_1,RB,3,0.490219047020521,0,1,C,0,uninfected
C_1,RG,3,0.43304650527932,0,1,C,0,uninfected
C_1,RR,3,0.2166413531111,0,1,C,0,uninfected
C_1,BB,4,0.149287324658634,0,0.9980831735978,C,0,uninfected
C_1,BG,4,0.130430737492237,0,0.9980831735978,C,0,uninfected
C_1,BR,4,0.144263057363204,0,0.9980831735978,C,0,uninfected
C_1,GG,4,0.128324665410041,0,0.9980831735978,C,0,uninfected
C_1,GR,4,2.91111382264364,0,0.992999416618051,C,0,uninfected
C_1,RB,4,0.160019243702026,0,0.9980831735978,C,0,uninfected
C_1,RG,4,0.321373583361666,0,0.9980831735978,C,0,uninfected
C_1,RR,4,0.128324665410041,0,0.9980831735978,C,0,uninfected
C_1,BB,5,0.200915583160235,0,1,C,0,uninfected
C_1,BG,5,0.800902757667362,0,1,C,0,uninfected
C_1,BR,5,0.579633302002837,0,1,C,0,uninfected
C_1,GG,5,0.200915583160235,0,1,C,0,uninfected
C_1,GR,5,3.73391080523347,0,0.990332527710643,C,0,uninfected
C_1,RB,5,0.410979673182281,0,0.986248854071173,C,0,uninfected
C_1,RG,5,0.526029895472589,0,0.994999583298608,C,0,uninfected
C_1,RR,5,0.202530485565691,0,1,C,0,uninfected
C_1,BB,6,0.301336578025298,0,0.963330277523127,C,0,uninfected
C_1,BG,6,1.84987433725199,0,0.963330277523127,C,0,uninfected
C_1,BR,6,0.264053200616472,0,0.963330277523127,C,0,uninfected
C_1,GG,6,0.259533224356561,0,0.963330277523127,C,0,uninfected
C_1,GR,6,3.60468978097284,0,1,C,0,uninfected
C_1,RB,6,0.832969908653211,0,0.974164513709476,C,0,uninfected
C_1,RG,6,0.531829906420208,0,0.963330277523127,C,0,uninfected
C_1,RR,6,0.455500926884045,0,0.963330277523127,C,0,uninfected
C_1,BB,7,0.162420673294954,0,0.998333194432869,C,0,uninfected
C_1,BG,7,0.504761542934846,0,0.998333194432869,C,0,uninfected
C_1,BR,7,0.299490403995428,0,0.998333194432869,C,0,uninfected
C_1,GG,7,0.284896878098777,0,0.998333194432869,C,0,uninfected
C_1,GR,7,4.42179033894557,0,0.994332861071756,C,0,uninfected
C_1,RB,7,0.162420673294954,0,0.998333194432869,C,0,uninfected
C_1,RG,7,0.243903405369973,0,0.998333194432869,C,0,uninfected
C_1,RR,7,0.162420673294954,0,0.998333194432869,C,0,uninfected
C_1,BB,8,0.115287903457274,0,1,C,0,uninfected
C_1,BG,8,0.483423562204067,0,1,C,0,uninfected
C_1,BR,8,0.115287903457274,0,1,C,0,uninfected
C_1,GG,8,0.118658834886465,0,1,C,0,uninfected
C_1,GR,8,3.80962469162474,0,1,C,0,uninfected
C_1,RB,8,0.115287903457274,0,1,C,0,uninfected
C_1,RG,8,0.115287903457274,0,1,C,0,uninfected
C_1,RR,8,0.115287903457274,0,1,C,0,uninfected
C_1,BB,9,0.142957334311185,0,0.997583131927661,C,0,uninfected
C_1,BG,9,3.9144999054603,0,1,C,0,uninfected
C_1,BR,9,0.142957334311185,0,0.997583131927661,C,0,uninfected
C_1,GG,9,0.250915767853827,0,0.997583131927661,C,0,uninfected
C_1,GR,9,0.435683562388272,0,1,C,0,uninfected
C_1,RB,9,0.362967313938264,0,0.997583131927661,C,0,uninfected
C_1,RG,9,0.142957334311185,0,0.997583131927661,C,0,uninfected
C_1,RR,9,0.142957334311185,0,0.997583131927661,C,0,uninfected
C_1,BB,10,0.156014213430442,0,1,C,0,uninfected
C_1,BG,10,4.27538919369738,0,1,C,0,uninfected
C_1,BR,10,0.22202601002535,0,1,C,0,uninfected
C_1,GG,10,NaN,0,0,C,0,uninfected
C_1,GR,10,0.12669740777257,0,1,C,0,uninfected
C_1,RB,10,0.127484382714223,0,1,C,0,uninfected
C_1,RG,10,NaN,0,0,C,0,uninfected
C_1,RR,10,NaN,0,0,C,0,uninfected
C_1,BB,11,0.069658805945078,0,1,C,0,uninfected
C_1,BG,11,2.62994289716239,0,0.971997666472206,C,0,uninfected
C_1,BR,11,0.0631105222651395,0,1,C,0,uninfected
C_1,GG,11,0.0631105222651395,0,1,C,0,uninfected
C_1,GR,11,0.0631105222651395,0,1,C,0,uninfected
C_1,RB,11,0.091105325599767,0,1,C,0,uninfected
C_1,RG,11,0.0631105222651395,0,1,C,0,uninfected
C_1,RR,11,0.178865615367974,0,1,C,0,uninfected
C_1,BB,12,0.0411893675630152,0,1,C,0,uninfected
C_1,BG,12,3.54097176109321,0,0.9980831735978,C,0,uninfected
C_1,BR,12,0.0411893675630152,0,1,C,0,uninfected
C_1,GG,12,0.0411893675630152,0,1,C,0,uninfected
C_1,GR,12,0.0411893675630152,0,1,C,0,uninfected
C_1,RB,12,0.0411893675630152,0,1,C,0,uninfected
C_1,RG,12,0.0411893675630152,0,1,C,0,uninfected
C_1,RR,12,0.0411893675630152,0,1,C,0,uninfected
C_1,BB,13,0.0769475054971479,0,1,C,0,uninfected
C_1,BG,13,2.83419276408787,0,0.997249770814234,C,0,uninfected
C_1,BR,13,2.0551923809198,0,0.00233352779398288,C,0,uninfected
C_1,GG,13,0.155710764636025,0,0.997249770814234,C,0,uninfected
C_1,GR,13,0.67721662089891,0,1,C,0,uninfected
C_1,RB,13,0.0807044265282638,0,1,C,0,uninfected
C_1,RG,13,0.215614766329037,0,0.996499708309026,C,0,uninfected
C_1,RR,13,0.0769475054971479,0,1,C,0,uninfected
C_1,BB,14,NaN,0,0,C,0,uninfected
C_1,BG,14,2.44837049062255,0,1,C,0,uninfected
C_1,BR,14,NaN,0,0,C,0,uninfected
C_1,GG,14,NaN,0,0,C,0,uninfected
C_1,GR,14,NaN,0,0,C,0,uninfected
C_1,RB,14,0.0723500090965307,0,1,C,0,uninfected
C_1,RG,14,NaN,0,0,C,0,uninfected
C_1,RR,14,NaN,0,0,C,0,uninfected
C_1,BB,15,0.0815246678205783,0,0.998749895824652,C,0,uninfected
C_1,BG,15,0.306203583021005,0,0.998749895824652,C,0,uninfected
C_1,BR,15,0.229099813604646,0,1,C,0,uninfected
C_1,GG,15,0.0687974618850283,0,0.998749895824652,C,0,uninfected
C_1,GR,15,0.496180578385961,0,0.996999749979165,C,0,uninfected
C_1,RB,15,0.0820249721178345,0,0.998749895824652,C,0,uninfected
C_1,RG,15,0.0687974618850283,0,0.998749895824652,C,0,uninfected
C_1,RR,15,0.0687974618850283,0,0.998749895824652,C,0,uninfected
C_1,BB,16,0.159401360782888,0,1,C,0,uninfected
C_1,BG,16,3.40065464226234,0,0.997249770814234,C,0,uninfected
C_1,BR,16,0.146172884809437,0,1,C,0,uninfected
C_1,GG,16,0.146172884809437,0,1,C,0,uninfected
C_1,GR,16,0.226598899120552,0,1,C,0,uninfected
C_1,RB,16,0.146668501804068,0,1,C,0,uninfected
