ColonyID,Colour,ContinuousSegment,MeanSpeed,AssignmentRate,Treatment,InfectionLoad,InfectionStatus
C_1,BB,1,1.53438993125343,0.351695974664555,C,0,uninfected
C_1,BG,1,3.60409242458476,0.508625718809901,C,0,uninfected
C_1,BR,1,1.82418853825261,0.420535044587049,C,0,uninfected
C_1,GG,1,0.0498034121505449,0.365197099758313,C,0,uninfected
C_1,GR,1,3.81223319021944,0.603550295857988,C,0,uninfected
C_1,RB,1,0.372619679641205,0.41570130844237,C,0,uninfected
C_1,RG,1,1.28626150079723,0.395866322193516,C,0,uninfected
C_1,RR,1,0.0498034121505449,0.365197099758313,C,0,uninfected
C_1,BB,2,0.0190793110572982,0.133594466205517,C,0,uninfected
C_1,BG,2,0.0190793110572982,0.133594466205517,C,0,uninfected
C_1,BR,2,0.0190793110572982,0.133594466205517,C,0,uninfected
C_1,GG,2,0.0190793110572982,0.133594466205517,C,0,uninfected
C_1,GR,2,5.5309635945175,0.667472289357447,C,0,uninfected
C_1,RB,2,0.0190793110572982,0.133594466205517,C,0,uninfected
C_1,RG,2,0.0190793110572982,0.133594466205517,C,0,uninfected
C_1,RR,2,0.0190793110572982,0.133594466205517,C,0,uninfected
C_1,BB,3,0.0359992841857843,0.161513459454955,C,0,uninfected
C_1,BG,3,0.6852753715126,0.171597633136095,C,0,uninfected
C_1,BR,3,0.411350250166105,0.166597216434703,C,0,uninfected
C_1,GG,3,0.0412999961740276,0.151095924660388,C,0,uninfected
C_1,GR,3,4.54069279910765,0.608884073672806,C,0,uninfected
C_1,RB,3,1.09140900364419,0.197183098591549,C,0,uninfected
C_1,RG,3,1.04821028538692,0.185598799899992,C,0,uninfected
C_1,RR,3,0.0468631139578725,0.152179348279023,C,0,uninfected
C_1,BB,4,0.0362938840037115,0.145345445453788,C,0,uninfected
C_1,BG,4,0.0167158381690908,0.158679889990833,C,0,uninfected
C_1,BR,4,0.0354071414761946,0.161596799733311,C,0,uninfected
C_1,GG,4,0.0167158381690908,0.158679889990833,C,0,uninfected
C_1,GR,4,4.42456433731033,0.510375864655388,C,0,uninfected
C_1,RB,4,0.0326740271196206,0.144345362113509,C,0,uninfected
C_1,RG,4,0.519951054303592,0.172847737311443,C,0,uninfected
C_1,RR,4,0.0167158381690908,0.158679889990833,C,0,uninfected
C_1,BB,5,0.0242899644382868,0.361280106675556,C,0,uninfected
C_1,BG,5,1.08668771674073,0.429202433536128,C,0,uninfected
C_1,BR,5,0.854104439142171,0.39936661388449,C,0,uninfected
C_1,GG,5,0.0242899644382868,0.361280106675556,C,0,uninfected
C_1,GR,5,4.97144145353862,0.620718393199433,C,0,uninfected
C_1,RB,5,0.341194278302026,0.362446870572548,C,0,uninfected
C_1,RG,5,0.777745966145242,0.408367363946996,C,0,uninfected
C_1,RR,5,0.0242899644382868,0.361280106675556,C,0,uninfected
C_1,BB,6,0.0536342157680073,0.225518793232769,C,0,uninfected
C_1,BG,6,3.14598579945481,0.396699724977081,C,0,uninfected
C_1,BR,6,0.0313542355644204,0.32636053004417,C,0,uninfected
C_1,GG,6,0.0313542355644204,0.32636053004417,C,0,uninfected
C_1,GR,6,4.65936766541799,0.636803066922244,C,0,uninfected
C_1,RB,6,1.4722017095514,0.290524210350863,C,0,uninfected
C_1,RG,6,0.502558667967116,0.352362696891408,C,0,uninfected
C_1,RR,6,0.530455671295395,0.373114426202183,C,0,uninfected
C_1,BB,7,0.0235917369575602,0.248770730894241,C,0,uninfected
C_1,BG,7,0.947745861878214,0.336278023168597,C,0,uninfected
C_1,BR,7,0.415521622941051,0.257104758729894,C,0,uninfected
C_1,GG,7,0.395672320481376,0.258604883740312,C,0,uninfected
C_1,GR,7,5.69293883578208,0.597299774981248,C,0,uninfected
C_1,RB,7,0.0235917369575602,0.248770730894241,C,0,uninfected
C_1,RG,7,0.29830588942777,0.290440870072506,C,0,uninfected
C_1,RR,7,0.0235917369575602,0.248770730894241,C,0,uninfected
C_1,BB,8,0.0132099826337203,0.27593966163847,C,0,uninfected
C_1,BG,8,0.901827224681522,0.345445453787816,C,0,uninfected
C_1,BR,8,0.0132099826337203,0.27593966163847,C,0,uninfected
C_1,GG,8,0.0132099826337203,0.27593966163847,C,0,uninfected
C_1,GR,8,5.21534124459951,0.597966497208101,C,0,uninfected
C_1,RB,8,0.0132099826337203,0.27593966163847,C,0,uninfected
C_1,RG,8,0.0132099826337203,0.27593966163847,C,0,uninfected
C_1,RR,8,0.0132099826337203,0.27593966163847,C,0,uninfected
