ColonyID,Colour,Day,AssignmentRate,MeanSpeed,InNestFrame,OutNestFrame,TotalFrame,OutNestRatio,InfectionStatus,InfectionLoad,Treatment
C_1,BB,1,0.940722222222222,0.733590900658643,627744,55467,683211,0.0811857537422553,uninfected,0,C
C_1,BG,1,0.986350694444444,1.98825858307556,550295,164827,715122,0.230487944714328,uninfected,0,C
C_1,BR,1,0.897399305555556,0.290936661491003,619213,21993,641206,0.0342994295125124,uninfected,0,C
C_1,GG,1,0.890665509259259,0.103523461135761,612704,17927,630631,0.0284270833498512,uninfected,0,C
C_1,GR,1,0.941983796296296,2.68770132746891,588711,113015,701726,0.161052889589384,uninfected,0,C
C_1,RB,1,0.960743055555556,1.03097564152027,625930,81582,707512,0.115308291590814,uninfected,0,C
C_1,RG,1,0.910915509259259,0.310232529147232,620253,24253,644506,0.0376303711679953,uninfected,0,C
C_1,RR,1,0.891091435185185,0.168793542131935,616120,18215,634335,0.0287151111006014,uninfected,0,C
C_10,BB,1,0.954173611111111,0.765014113322274,648007,85506,733513,0.116570531128964,uninfected,0,C
C_10,BG,1,0.953996527777778,1.25203659042355,621594,124365,745959,0.166718278082307,uninfected,0,C
C_10,BR,1,0.921927083333333,0.710314871137465,572856,93004,665860,0.139675006758177,uninfected,0,C
C_10,GG,1,0.943811342592593,2.16604085050155,556549,159363,715912,0.22260138117534,uninfected,0,C
C_10,GR,1,0.936959490740741,2.10722111631962,543293,162391,705684,0.230118579987643,uninfected,0,C
C_10,RB,1,0.955615740740741,0.687452136355986,661842,68259,730101,0.0934925441822433,uninfected,0,C
C_10,RG,1,0.956880787037037,1.00168559943288,556527,158057,714584,0.221187432128343,uninfected,0,C
C_10,RR,1,0.949865740740741,1.05623756794842,555461,157257,712718,0.220644069603967,uninfected,0,C
C_2,BB,1,0.995302083333333,0.401214237041614,620194,47784,667978,0.071535290084404,uninfected,0,C
C_2,BG,1,0.984006944444444,0.328816638096755,601057,32276,633333,0.0509621320853327,uninfected,0,C
C_2,BR,1,0.9835,0.303883861993455,569885,38067,607952,0.0626151406690002,uninfected,0,C
C_2,GG,1,0.984615740740741,1.9383761075779,527526,195729,723255,0.270622394591119,uninfected,0,C
C_2,GR,1,0.990915509259259,0.364405713801454,598908,46564,645472,0.0721394576372019,uninfected,0,C
C_2,RB,1,0.994236111111111,0.67555436376874,552443,93481,645924,0.144724456747233,uninfected,0,C
C_2,RG,1,0.994431712962963,1.20454274342629,563699,107697,671396,0.160407568707588,uninfected,0,C
C_2,RR,1,0.984511574074074,0.0911479275235866,584732,16043,600775,0.0267038408722067,uninfected,0,C
C_3,BB,1,0.986653935185185,2.53490410924692,548990,219976,768966,0.28606726435239,uninfected,0,C
C_3,BG,1,0.996019675925926,0.221664611836446,709944,26779,736723,0.0363488040959764,uninfected,0,C
C_3,BR,1,0.977829861111111,1.04130585001803,667844,62335,730179,0.0853694778951463,uninfected,0,C
C_3,GG,1,0.983392361111111,1.56133791787665,617898,119029,736927,0.161520747645289,uninfected,0,C
C_3,GR,1,0.973591435185185,1.46438433138369,585117,165223,750340,0.220197510461924,uninfected,0,C
C_3,RB,1,0.99578125,0.241330388765015,724836,14652,739488,0.0198137089445671,uninfected,0,C
C_3,RG,1,0.968856481481482,1.24030793508231,606929,89378,696307,0.12836004808224,uninfected,0,C
C_3,RR,1,0.994210648148148,0.463794729669165,683395,52922,736317,0.0718739347319157,uninfected,0,C
C_4,BB,1,0.941564814814815,0.593034404020241,615088,98037,713125,0.137475197195443,uninfected,0,C
C_4,BG,1,0.983741898148148,1.58905189306325,601992,147688,749680,0.197001387258564,uninfected,0,C
C_4,BR,1,0.982289351851852,1.1740291843971,617495,130837,748332,0.174838173431044,uninfected,0,C
C_4,GG,1,0.979549768518518,1.04393424708247,642654,90806,733460,0.123804979139967,uninfected,0,C
C_4,GR,1,0.984800925925926,1.6652295762406,529366,228397,757763,0.3014095436172,uninfected,0,C
C_4,RB,1,0.981256944444444,0.355371484647395,689462,41307,730769,0.0565253862711746,uninfected,0,C
C_4,RG,1,0.979104166666667,2.00843902653567,508973,241479,750452,0.321778075080085,uninfected,0,C
C_4,RR,1,0.9818125,0.738436523247986,618873,113387,732260,0.154845273536722,uninfected,0,C
C_5,BB,1,0.960064814814815,1.1675073295388,503379,140203,643582,0.21784791992318,uninfected,0,C
C_5,BG,1,0.965887731481481,0.203231196424171,488292,192252,680544,0.282497531386655,uninfected,0,C
C_5,BR,1,0.882699074074074,0.0797525322677043,494596,19813,514409,0.0385160446259688,uninfected,0,C
C_5,GG,1,0.962127314814815,0.19978084435389,575982,35317,611299,0.0577736917613148,uninfected,0,C
C_5,GR,1,0.942784722222222,0.267845622670361,523591,82611,606202,0.136276356725976,uninfected,0,C
C_5,RB,1,0.942571759259259,0.166405352459628,568315,32811,601126,0.0545825667164621,uninfected,0,C
C_5,RG,1,0.927099537037037,0.183667851993805,515338,54306,569644,0.0953332256637479,uninfected,0,C
C_5,RR,1,0.882453703703704,0.11145063573905,485387,21499,506886,0.0424138760983732,uninfected,0,C
C_6,BB,1,0.951751157407407,1.16424839323293,564951,136558,701509,0.194663218861055,uninfected,0,C
C_6,BG,1,0.966855324074074,0.312598087308123,635095,58788,693883,0.0847232170265016,uninfected,0,C
C_6,BR,1,0.956884259259259,0.852302887753165,579228,126174,705402,0.17886821982359,uninfected,0,C
C_6,GG,1,0.98296412037037,1.81586824551966,495705,230521,726226,0.317423226378565,uninfected,0,C
C_6,GR,1,0.938193287037037,0.60095676245316,578778,80463,659241,0.122053998461868,uninfected,0,C
