ColonyID,Colour,Day,AssignmentRate,MeanSpeed,MedianSpeed,InNestFrame,OutNestFrame,TotalFrame,OutNestRatio,InfectionStatus,InfectionLoad,Treatment
C_1,BB,1,0.996444444444444,2.57069923812464,2.65803699104454,141531,1957,143488,0.0136387711864407,uninfected,0,C
C_1,BG,1,0.987680555555556,2.61384103243551,2.74372375959617,97244,44982,142226,0.316271286543951,uninfected,0,C
C_1,BR,1,0.996305555555556,2.84188770151161,3.07682208938138,139651,3817,143468,0.0266052360108177,uninfected,0,C
C_1,GG,1,0.913111111111111,3.81619936431601,3.9620613745446,131207,281,131488,0.00213707714772451,uninfected,0,C
C_1,GR,1,0.99475,3.16703379915124,3.44173164055444,93022,50222,143244,0.350604562843819,uninfected,0,C
C_1,RB,1,0.984256944444444,2.57651521279387,2.63390066577691,138788,2945,141733,0.0207785060642193,uninfected,0,C
C_1,RG,1,0.912694444444444,2.85350768657668,2.96970541198498,128694,2734,131428,0.0208022643576711,uninfected,0,C
C_1,RR,1,0.913111111111111,2.83815717237021,3.00548135691874,130565,923,131488,0.00701965198345096,uninfected,0,C
C_1,BB,2,0.745083333333333,2.11024454046516,1.94446936111594,106289,1003,107292,0.00934832047123737,uninfected,0,C
C_1,BG,2,0.985319444444444,2.70550907639308,2.8888623513497,62815,79071,141886,0.557285426328179,uninfected,0,C
C_1,BR,2,0.565305555555556,2.34557537366924,2.37508845146244,80130,1274,81404,0.0156503365927964,uninfected,0,C
C_1,GG,2,0.658215277777778,4.04348531659803,4.19026925043589,94658,125,94783,0.00131880189485456,uninfected,0,C
C_1,GR,2,0.748208333333333,2.8067896022015,2.92576246566788,89209,18533,107742,0.172012771249838,uninfected,0,C
C_1,RB,2,0.823520833333333,2.77075025998005,2.87319422137488,97104,21483,118587,0.181158137063928,uninfected,0,C
C_1,RG,2,0.656791666666667,2.34645172757485,2.27927261775154,92213,2365,94578,0.0250058153058851,uninfected,0,C
C_1,RR,2,0.658444444444444,3.28244633217769,3.48465350260975,94523,293,94816,0.00309019574755316,uninfected,0,C
C_1,BB,3,0.902986111111111,1.10355952936156,0.133951555370107,119197,10833,130030,0.0833115434899638,uninfected,0,C
C_1,BG,3,0.946965277777778,1.68542886918072,1.16256762290229,112558,23805,136363,0.174570814663802,uninfected,0,C
C_1,BR,3,0.912097222222222,0.831875932594271,0.0937573870284455,120640,10702,131342,0.0814819326643419,uninfected,0,C
C_1,GG,3,0.862208333333333,0.226015607425216,0.0465452810648017,112875,11283,124158,0.0908761416904267,uninfected,0,C
C_1,GR,3,0.998256944444444,3.06378266942525,3.31224407018385,107682,36067,143749,0.250902614974713,uninfected,0,C
C_1,RB,3,0.999840277777778,1.42073311145616,0.574229950446393,127321,16656,143977,0.115685144154969,uninfected,0,C
C_1,RG,3,0.985319444444444,0.687113529902834,0.0686920573262866,128663,13223,141886,0.0931945364588472,uninfected,0,C
C_1,RR,3,0.864305555555556,0.706448712670041,0.0828328875765421,114698,9762,124460,0.0784348385023301,uninfected,0,C
C_1,BB,4,0.999979166666667,2.6102209169073,2.63904331126866,117112,26885,143997,0.186705278582193,uninfected,0,C
C_1,BG,4,0.998298611111111,2.05659194430453,1.9219843763634,132421,11334,143755,0.0788424750443463,uninfected,0,C
C_1,BR,4,0.910847222222222,3.38615364888925,3.686030186135,131032,130,131162,0.000991140726734878,uninfected,0,C
C_1,GG,4,0.910618055555556,2.92373293990372,3.08128493633199,130859,270,131129,0.00205904109693508,uninfected,0,C
C_1,GR,4,0.910847222222222,2.94075435022154,3.08155661706678,128134,3028,131162,0.0230859547734862,uninfected,0,C
C_1,RB,4,0.998666666666667,2.22490341459279,2.15050614075647,131771,12037,143808,0.0837018802848242,uninfected,0,C
C_1,RG,4,0.910847222222222,2.72857591237911,2.76225584789838,130937,225,131162,0.00171543587319498,uninfected,0,C
C_1,RR,4,0.910847222222222,2.59187520485605,2.51664624121876,130651,511,131162,0.00389594547201171,uninfected,0,C
C_1,BB,5,0.999840277777778,1.63968526209988,1.40946364156149,139649,4328,143977,0.0300603568625544,uninfected,0,C
C_1,BG,5,0.999840277777778,NaN,NaN,143977,0,143977,0,uninfected,0,C
C_1,BR,5,0.999840277777778,NaN,NaN,143977,0,143977,0,uninfected,0,C
C_1,GG,5,0.999840277777778,NaN,NaN,143977,0,143977,0,uninfected,0,C
C_1,GR,5,0.999840277777778,NaN,NaN,143977,0,143977,0,uninfected,0,C
C_1,RB,5,0.958173611111111,1.6314622364065,1.37245637061338,120298,17679,137977,0.128130050660617,uninfected,0,C
C_1,RG,5,0.999840277777778,NaN,NaN,143977,0,143977,0,uninfected,0,C
C_1,RR,5,0.999840277777778,NaN,NaN,143977,0,143977,0,uninfected,0,C
C_1,BB,6,1,0.665192887180427,0.035339341585818,133518,10482,144000,0.0727916666666667,uninfected,0,C
C_1,BG,6,1,0.152143294809456,0.0171261282770099,136996,7004,144000,0.0486388888888889,uninfected,0,C
C_1,BR,6,1,0.0529830254316754,0.0149790706368225,137783,6217,144000,0.0431736111111111,uninfected,0,C
C_1,GG,6,1,0.0183883751538503,0.0141541423192509,138000,6000,144000,0.0416666666666667,uninfected,0,C
C_1,GR,6,1,0.0183883751538503,0.0141541423192509,138000,6000,144000,0.0416666666666667,uninfected,0,C
C_1,RB,6,1,0.909125099306953,0.0378117699340521,133139,10861,144000,0.0754236111111111,uninfected,0,C
C_1,RG,6,1,0.0269699042215002,0.0141793423635648,137979,6021,144000,0.0418125,uninfected,0,C
