Colour,ColonyID,Treatment,AssignmentRate,InNestFrame,TotalFrame,InNestRatio,OutNestFrame,OutNestRatio,InfectionStatus,InfectionLoad,ColonyTreatmentAntInfectionStatus
BR,C_6,C,0.8164375,615024,705402,0.871877312511164,90378,0.128122687488836,uninfected,0,C_uninfected
GG,C_6,C,0.840539351851852,565248,726226,0.778336220405218,160978,0.221663779594782,uninfected,0,C_uninfected
GR,C_6,C,0.763010416666667,608128,659241,0.92246689753823,51113,0.0775331024617705,uninfected,0,C_uninfected
RB,C_6,C,0.818354166666667,655312,707058,0.926815056190581,51746,0.0731849438094188,uninfected,0,C_uninfected
RG,C_6,C,0.769040509259259,617714,664451,0.929660727427606,46737,0.0703392725723944,uninfected,0,C_uninfected
RR,C_6,C,0.827604166666667,475429,715050,0.664889168589609,239621,0.335110831410391,uninfected,0,C_uninfected
BB,C_7,C,0.904476851851852,605120,781468,0.774337528855948,176348,0.225662471144052,uninfected,0,C_uninfected
BG,C_7,C,0.891894675925926,360305,770597,0.467566055928066,410292,0.532433944071934,uninfected,0,C_uninfected
BR,C_7,C,0.892292824074074,568053,770941,0.736830704295141,202888,0.263169295704859,uninfected,0,C_uninfected
GG,C_7,C,0.908488425925926,703141,784934,0.895796334468885,81793,0.104203665531115,uninfected,0,C_uninfected
GR,C_7,C,0.88559375,456432,765153,0.596523832488404,308721,0.403476167511596,uninfected,0,C_uninfected
RB,C_7,C,0.892712962962963,476071,771304,0.617228745086244,295233,0.382771254913756,uninfected,0,C_uninfected
RG,C_7,C,0.906267361111111,645040,783015,0.823790093420943,137975,0.176209906579057,uninfected,0,C_uninfected
RR,C_7,C,0.500298611111111,352547,432258,0.815593927700586,79711,0.184406072299414,uninfected,0,C_uninfected
BB,C_8,C,0.843460648148148,675205,728750,0.92652487135506,53545,0.07347512864494,uninfected,0,C_uninfected
BG,C_8,C,0.914980324074074,518566,790543,0.655961788289821,271977,0.344038211710179,uninfected,0,C_uninfected
BR,C_8,C,0.83909375,706406,724977,0.974384014941164,18571,0.0256159850588363,uninfected,0,C_uninfected
GG,C_8,C,0.848395833333333,687179,733014,0.937470498517082,45835,0.0625295014829185,uninfected,0,C_uninfected
GR,C_8,C,0.852707175925926,665899,736739,0.903846545384458,70840,0.0961534546155423,uninfected,0,C_uninfected
RB,C_8,C,0.859626157407407,666302,742717,0.89711424405258,76415,0.10288575594742,uninfected,0,C_uninfected
RG,C_8,C,0.827908564814815,665764,715313,0.930731022643234,49549,0.0692689773567655,uninfected,0,C_uninfected
RR,C_8,C,0.876997685185185,600873,757726,0.792995093213114,156853,0.207004906786886,uninfected,0,C_uninfected
BB,C_9,C,0.915703703703704,750251,791168,0.948282792023944,40917,0.0517172079760556,uninfected,0,C_uninfected
BG,C_9,C,0.906008101851852,744311,782791,0.950842562063182,38480,0.0491574379368184,uninfected,0,C_uninfected
BR,C_9,C,0.89724537037037,768229,775220,0.990981914811279,6991,0.0090180851887206,uninfected,0,C_uninfected
GG,C_9,C,0.899828703703704,769194,777452,0.989378122379259,8258,0.0106218776207406,uninfected,0,C_uninfected
GR,C_9,C,0.917158564814815,781543,792425,0.986267470107581,10882,0.0137325298924188,uninfected,0,C_uninfected
RB,C_9,C,0.908443287037037,775790,784895,0.988399722255843,9105,0.0116002777441568,uninfected,0,C_uninfected
RG,C_9,C,0.922305555555556,753984,796872,0.946179562087763,42888,0.0538204379122369,uninfected,0,C_uninfected
RR,C_9,C,0.920888888888889,793122,795648,0.996825229247104,2526,0.00317477075289574,uninfected,0,C_uninfected
BB,T_1,T,0.911591435185185,782943,787615,0.994068167823112,4672,0.00593183217688842,infected,5,T_infected
BG,T_1,T,0.916769675925926,676987,792089,0.854685521450241,115102,0.145314478549759,infected,12,T_infected
BR,T_1,T,0.913542824074074,719651,789301,0.911757365060984,69650,0.0882426349390156,infected,10,T_infected
GG,T_1,T,0.894703703703704,756891,773024,0.979130014074595,16133,0.0208699859254047,infected,3,T_infected
GR,T_1,T,0.890383101851852,745436,769291,0.968990928010337,23855,0.0310090719896632,infected,15,T_infected
RB,T_1,T,0.907224537037037,771279,783842,0.983972535281345,12563,0.016027464718655,infected,8,T_infected
RG,T_1,T,0.922126157407407,737834,796717,0.926092953959813,58883,0.0739070460401874,infected,5,T_infected
RR,T_1,T,0.870738425925926,608699,752318,0.809098014403484,143619,0.190901985596516,infected,NaN,T_infected
BB,T_10,T,0.838413194444444,677428,724389,0.935171572180141,46961,0.0648284278198592,infected,3,T_infected
BG,T_10,T,0.832841435185185,685710,719575,0.952937497828579,33865,0.0470625021714206,infected,0,T_infected
BR,T_10,T,0.846896990740741,684337,731719,0.935245633911378,47382,0.0647543660886215,infected,10,T_infected
GG,T_10,T,0.82647337962963,670688,714073,0.939242906537567,43385,0.0607570934624331,infected,0,T_infected
GR,T_10,T,0.861547453703704,696054,744377,0.935082626142398,48323,0.0649173738576018,infected,5,T_infected
RB,T_10,T,0.8355,676861,721872,0.937646840437086,45011,0.0623531595629142,infected,NaN,T_infected
RG,T_10,T,0.849390046296296,687076,733873,0.936232835926652,46797,0.0637671640733478,infected,12,T_infected
RR,T_10,T,0.853554398148148,705301,737471,0.956377945709052,32170,0.0436220542909483,infected,4,T_infected
BB,T_2,T,0.869296296296296,749093,751072,0.99736509948447,1979,0.00263490051552984,infected,17,T_infected
BG,T_2,T,0.876559027777778,721312,757347,0.952419432571859,36035,0.0475805674281407,infected,5,T_infected
BR,T_2,T,0.910327546296296,770645,786523,0.979812414894415,15878,0.0201875851055849,infected,NaN,T_infected
GG,T_2,T,0.863315972222222,740380,745905,0.992592890515548,5525,0.00740710948445178,infected,5,T_infected
